7.1.83 Rob-21
Location,Type,Scene,Dungeon/Overworld
Forest Temple NW Outdoors Deku Baba,EnemyDrop,Forest Temple,Vanilla
Forest Temple Map Chest Bubble,EnemyDrop,Forest Temple,Vanilla
Forest Temple Right Courtyard Balcony Skulltula,EnemyDrop,Forest Temple,Vanilla
Forest Temple Right Courtyard Balcony Deku Baba,EnemyDrop,Forest Temple,Vanilla
Forest Temple Right Courtyard Octorok,EnemyDrop,Forest Temple,Vanilla
Forest Temple NE Outdoors Deku Baba,EnemyDrop,Forest Temple,Vanilla
Forest Temple After First Locked Door Skulltula,EnemyDrop,Forest Temple,Vanilla
Forest Temple Block Push Room Lower Bubble,EnemyDrop,Forest Temple,Vanilla
Forest Temple Block Push Room Upper Bubble 1,EnemyDrop,Forest Temple,Vanilla
Forest Temple Block Push Room Upper Bubble 2,EnemyDrop,Forest Temple,Vanilla
Forest Temple Balcony Deku Baba,EnemyDrop,Forest Temple,Vanilla
Forest Temple Balcony Floormaster,EnemyDrop,Forest Temple,Vanilla
Forest Temple Balcony Bubble 1,EnemyDrop,Forest Temple,Vanilla
Forest Temple Balcony Bubble 2,EnemyDrop,Forest Temple,Vanilla
Forest Temple First Twisted Hallway Wallmaster,EnemyDrop,Forest Temple,Vanilla
Forest Temple Second Twisted Hallway Bubble 1,EnemyDrop,Forest Temple,Vanilla
Forest Temple Second Twisted Hallway Bubble 2,EnemyDrop,Forest Temple,Vanilla
Forest Temple Second Twisted Hallway Wallmaster,EnemyDrop,Forest Temple,Vanilla
Forest Temple Falling Ceiling Room Skulltula 1,EnemyDrop,Forest Temple,Vanilla
Forest Temple Falling Ceiling Room Skulltula 2,EnemyDrop,Forest Temple,Vanilla
Forest Temple Falling Ceiling Room Skulltula 3,EnemyDrop,Forest Temple,Vanilla
Forest Temple After Green Poe Hallway Skulltula,EnemyDrop,Forest Temple,Vanilla
Forest Temple Basement Skulltula,EnemyDrop,Forest Temple,Vanilla
Forest Temple MQ First Room Chest,Chest,Forest Temple,MQ
Forest Temple MQ Wolfos Chest,Chest,Forest Temple,MQ
Forest Temple MQ Well Chest,Chest,Forest Temple,MQ
Forest Temple MQ Raised Island Courtyard Lower Chest,Chest,Forest Temple,MQ
Forest Temple MQ Raised Island Courtyard Upper Chest,Chest,Forest Temple,MQ
Forest Temple MQ Boss Key Chest,Chest,Forest Temple,MQ
Forest Temple MQ Redead Chest,Chest,Forest Temple,MQ
Forest Temple MQ Map Chest,Chest,Forest Temple,MQ
Forest Temple MQ Bow Chest,Chest,Forest Temple,MQ
Forest Temple MQ Compass Chest,Chest,Forest Temple,MQ
Forest Temple MQ Falling Ceiling Room Chest,Chest,Forest Temple,MQ
Forest Temple MQ Basement Chest,Chest,Forest Temple,MQ
Forest Temple MQ GS First Hallway,GS Token,Forest Temple,MQ
Forest Temple MQ GS Raised Island Courtyard,GS Token,Forest Temple,MQ
Forest Temple MQ GS Level Island Courtyard,GS Token,Forest Temple,MQ
Forest Temple MQ GS Well,GS Token,Forest Temple,MQ
Forest Temple MQ GS Block Push Room,GS Token,Forest Temple,MQ
Forest Temple MQ Courtyard Recovery Heart 1,Freestanding,Forest Temple,MQ
Forest Temple MQ Courtyard Recovery Heart 2,Freestanding,Forest Temple,MQ
Forest Temple MQ Courtyard Recovery Heart 3,Freestanding,Forest Temple,MQ
Forest Temple MQ Well Recovery Heart 1,Freestanding,Forest Temple,MQ
Forest Temple MQ Well Recovery Heart 2,Freestanding,Forest Temple,MQ
Forest Temple MQ Well Recovery Heart 3,Freestanding,Forest Temple,MQ
Forest Temple MQ Center Room Right Pot 1,Pot,Forest Temple,MQ
Forest Temple MQ Center Room Right Pot 2,Pot,Forest Temple,MQ
Forest Temple MQ Center Room Right Pot 3,Pot,Forest Temple,MQ
Forest Temple MQ Center Room Left Pot 1,Pot,Forest Temple,MQ
Forest Temple MQ Center Room Left Pot 2,Pot,Forest Temple,MQ
Forest Temple MQ Center Room Left Pot 3,Pot,Forest Temple,MQ
Forest Temple MQ Wolfos Room Pot,Pot,Forest Temple,MQ
Forest Temple MQ Upper Stalfos Pot 1,Pot,Forest Temple,MQ
Forest Temple MQ Upper Stalfos Pot 2,Pot,Forest Temple,MQ
Forest Temple MQ Upper Stalfos Pot 3,Pot,Forest Temple,MQ
Forest Temple MQ Upper Stalfos Pot 4,Pot,Forest Temple,MQ
Forest Temple MQ Blue Poe Room Pot 1,Pot,Forest Temple,MQ
Forest Temple MQ Blue Poe Room Pot 2,Pot,Forest Temple,MQ
Forest Temple MQ Blue Poe Room Pot 3,Pot,Forest Temple,MQ
Forest Temple MQ Green Poe Room Pot 1,Pot,Forest Temple,MQ
Forest Temple MQ Green Poe Room Pot 2,Pot,Forest Temple,MQ
Forest Temple MQ Basement Pot 1,Pot,Forest Temple,MQ
Forest Temple MQ Basement Pot 2,Pot,Forest Temple,MQ
Forest Temple MQ Basement Pot 3,Pot,Forest Temple,MQ
Forest Temple MQ Basement Pot 4,Pot,Forest Temple,MQ
Forest Temple MQ Frozen Eye Switch Room Small Wooden Crate 1,SmallCrate,Forest Temple,MQ
Forest Temple MQ Frozen Eye Switch Room Small Wooden Crate 2,SmallCrate,Forest Temple,MQ
Forest Temple MQ Frozen Eye Switch Room Small Wooden Crate 3,SmallCrate,Forest Temple,MQ
Forest Temple MQ Entrance Skullwalltula 1,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Entrance Skullwalltula 2,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Entrance Skullwalltula 3,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Entrance Skullwalltula 4,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Entrance Skullwalltula 5,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Entrance Skulltula,EnemyDrop,Forest Temple,MQ
Forest Temple MQ First Hallway Skulltula 1,EnemyDrop,Forest Temple,MQ
Forest Temple MQ First Hallway Skulltula 2,EnemyDrop,Forest Temple,MQ
Forest Temple MQ First Hallway Skulltula 3,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Hallway Stalfos,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Wolfos Chest Wolfos 1,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Wolfos Chest Wolfos 2,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Upper Stalfos 1,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Upper Stalfos Pair 1,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Upper Stalfos Pair 2,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Raised Island Courtyard Vines Skullwalltula,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Raised Island Courtyard Deku Baba 1,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Raised Island Courtyard Deku Baba 2,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Raised Island Courtyard Deku Baba 3,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Octorok Courtyard Octorok 1,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Octorok Courtyard Octorok 2,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Octorok Courtyard Octorok 3,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Octorok Courtyard Vines Skullwalltula 1,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Octorok Courtyard Vines Skullwalltula 2,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Octorok Courtyard Vines Skullwalltula 3,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Octorok Courtyard Vines Skulltula,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Between Courtyards Skulltula,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Block Push Bubble 1,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Block Push Bubble 2,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Falling Ceiling Skulltula 1,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Falling Ceiling Skulltula 2,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Falling Ceiling Skulltula 3,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Falling Ceiling Skulltula 4,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Falling Ceiling Skulltula 5,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Falling Ceiling Skulltula 6,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Falling Ceiling Skulltula 7,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Basement Skulltula 1,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Basement Skulltula 2,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Redead Room Redead,EnemyDrop,Forest Temple,MQ
Forest Temple MQ First Twisted Hallway Wallmaster,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Second Twisted Hallway Wallmaster,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Second Twisted Hallway Bubble 1,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Second Twisted Hallway Bubble 2,EnemyDrop,Forest Temple,MQ
Forest Temple MQ Balcony Floormaster,EnemyDrop,Forest Temple,MQ
Forest Temple Phantom Ganon Heart,BossHeart,Phantom Ganon's Lair,Vanilla/MQ
Fire Temple Near Boss Chest,Chest,Fire Temple,Vanilla
Fire Temple Flare Dancer Chest,Chest,Fire Temple,Vanilla
Fire Temple Boss Key Chest,Chest,Fire Temple,Vanilla
Fire Temple Big Lava Room Lower Open Door Chest,Chest,Fire Temple,Vanilla
Fire Temple Big Lava Room Blocked Door Chest,Chest,Fire Temple,Vanilla
Fire Temple Boulder Maze Lower Chest,Chest,Fire Temple,Vanilla
Fire Temple Boulder Maze Side Room Chest,Chest,Fire Temple,Vanilla
Fire Temple Map Chest,Chest,Fire Temple,Vanilla
Fire Temple Boulder Maze Shortcut Chest,Chest,Fire Temple,Vanilla
Fire Temple Boulder Maze Upper Chest,Chest,Fire Temple,Vanilla
Fire Temple Scarecrow Chest,Chest,Fire Temple,Vanilla
Fire Temple Compass Chest,Chest,Fire Temple,Vanilla
Fire Temple Megaton Hammer Chest,Chest,Fire Temple,Vanilla
Fire Temple Highest Goron Chest,Chest,Fire Temple,Vanilla
Fire Temple GS Boss Key Loop,GS Token,Fire Temple,Vanilla
Fire Temple GS Song of Time Room,GS Token,Fire Temple,Vanilla
Fire Temple GS Boulder Maze,GS Token,Fire Temple,Vanilla
Fire Temple GS Scarecrow Climb,GS Token,Fire Temple,Vanilla
Fire Temple GS Scarecrow Top,GS Token,Fire Temple,Vanilla
Fire Temple Elevator Room Recovery Heart 1,Freestanding,Fire Temple,Vanilla
Fire Temple Elevator Room Recovery Heart 2,Freestanding,Fire Temple,Vanilla
Fire Temple Elevator Room Recovery Heart 3,Freestanding,Fire Temple,Vanilla
Fire Temple Narrow Path Room Recovery Heart 1,Freestanding,Fire Temple,Vanilla
Fire Temple Narrow Path Room Recovery Heart 2,Freestanding,Fire Temple,Vanilla
Fire Temple Narrow Path Room Recovery Heart 3,Freestanding,Fire Temple,Vanilla
Fire Temple Moving Fire Room Recovery Heart 1,Freestanding,Fire Temple,Vanilla
Fire Temple Moving Fire Room Recovery Heart 2,Freestanding,Fire Temple,Vanilla
Fire Temple Moving Fire Room Recovery Heart 3,Freestanding,Fire Temple,Vanilla
Fire Temple Big Lava Room Pot 1,Pot,Fire Temple,Vanilla
Fire Temple Big Lava Room Pot 2,Pot,Fire Temple,Vanilla
Fire Temple Big Lava Room Pot 3,Pot,Fire Temple,Vanilla
Fire Temple Near Boss Pot 1,Pot,Fire Temple,Vanilla
Fire Temple Near Boss Pot 2,Pot,Fire Temple,Vanilla
Fire Temple Flame Maze Right Side Pot 1,Pot,Fire Temple,Vanilla
Fire Temple Flame Maze Right Side Pot 2,Pot,Fire Temple,Vanilla
Fire Temple Flame Maze Right Side Pot 3,Pot,Fire Temple,Vanilla
Fire Temple Flame Maze Right Side Pot 4,Pot,Fire Temple,Vanilla
Fire Temple Flame Maze Left Side Pot 1,Pot,Fire Temple,Vanilla
Fire Temple Flame Maze Left Side Pot 2,Pot,Fire Temple,Vanilla
Fire Temple Flame Maze Left Side Pot 3,Pot,Fire Temple,Vanilla
Fire Temple Flame Maze Left Side Pot 4,Pot,Fire Temple,Vanilla
Fire Temple Lobby Keese 1,EnemyDrop,Fire Temple,Vanilla
Fire Temple Lobby Keese 2,EnemyDrop,Fire Temple,Vanilla
Fire Temple Big Lava Room Keese 1,EnemyDrop,Fire Temple,Vanilla
Fire Temple Big Lava Room Keese 2,EnemyDrop,Fire Temple,Vanilla
Fire Temple Big Lava Room Keese 3,EnemyDrop,Fire Temple,Vanilla
Fire Temple Big Lava Room Keese 4,EnemyDrop,Fire Temple,Vanilla
Fire Temple Big Lava Room Bubble 1,EnemyDrop,Fire Temple,Vanilla
Fire Temple Big Lava Room Bubble 2,EnemyDrop,Fire Temple,Vanilla
Fire Temple Big Lava Room Bubble 3,EnemyDrop,Fire Temple,Vanilla
Fire Temple Big Lava Room Bubble 4,EnemyDrop,Fire Temple,Vanilla
Fire Temple Big Lava Room Bubble 5,EnemyDrop,Fire Temple,Vanilla
Fire Temple Big Lava Room Bubble 6,EnemyDrop,Fire Temple,Vanilla
Fire Temple Big Lava Room Bubble 7,EnemyDrop,Fire Temple,Vanilla
Fire Temple Big Lava Room Bubble 8,EnemyDrop,Fire Temple,Vanilla
Fire Temple Big Lava Room Bubble 9,EnemyDrop,Fire Temple,Vanilla
Fire Temple Song of Time Room Like Like,EnemyDrop,Fire Temple,Vanilla
Fire Temple Elevator Room Keese 1,EnemyDrop,Fire Temple,Vanilla
Fire Temple Elevator Room Keese 2,EnemyDrop,Fire Temple,Vanilla
Fire Temple Elevator Room Keese 3,EnemyDrop,Fire Temple,Vanilla
Fire Temple Elevator Room Keese 4,EnemyDrop,Fire Temple,Vanilla
Fire Temple Shortcut Room Lower Torch Slug,EnemyDrop,Fire Temple,Vanilla
Fire Temple Shortcut Room Upper Torch Slug,EnemyDrop,Fire Temple,Vanilla
Fire Temple Above Boulder Maze Torch Slug 1,EnemyDrop,Fire Temple,Vanilla
Fire Temple Above Boulder Maze Torch Slug 2,EnemyDrop,Fire Temple,Vanilla
Fire Temple Above Boulder Maze Torch Slug 3,EnemyDrop,Fire Temple,Vanilla
Fire Temple Moving Fire Room Bubble 1,EnemyDrop,Fire Temple,Vanilla
Fire Temple Moving Fire Room Bubble 2,EnemyDrop,Fire Temple,Vanilla
Fire Temple Moving Fire Room Bubble 3,EnemyDrop,Fire Temple,Vanilla
Fire Temple Moving Fire Room Bubble 4,EnemyDrop,Fire Temple,Vanilla
Fire Temple Moving Fire Room Bubble 5,EnemyDrop,Fire Temple,Vanilla
Fire Temple Flame Maze Right Side Keese 1,EnemyDrop,Fire Temple,Vanilla
Fire Temple Flame Maze Right Side Keese 2,EnemyDrop,Fire Temple,Vanilla
Fire Temple Flame Maze Left Side Keese,EnemyDrop,Fire Temple,Vanilla
Fire Temple Upper Flare Dancer,EnemyDrop,Fire Temple,Vanilla
Fire Temple Hammer Chest Keese 1,EnemyDrop,Fire Temple,Vanilla
Fire Temple Hammer Chest Keese 2,EnemyDrop,Fire Temple,Vanilla
Fire Temple Hammer Chest Keese 3,EnemyDrop,Fire Temple,Vanilla
Fire Temple Hammer Steps Keese 1,EnemyDrop,Fire Temple,Vanilla
Fire Temple Hammer Steps Keese 2,EnemyDrop,Fire Temple,Vanilla
Fire Temple Hammer Steps Keese 3,EnemyDrop,Fire Temple,Vanilla
Fire Temple Hammer Steps Keese 4,EnemyDrop,Fire Temple,Vanilla
Fire Temple Before Lower Flare Dancer Keese 1,EnemyDrop,Fire Temple,Vanilla
Fire Temple Before Lower Flare Dancer Keese 2,EnemyDrop,Fire Temple,Vanilla
Fire Temple Before Lower Flare Dancer Keese 3,EnemyDrop,Fire Temple,Vanilla
Fire Temple Before Lower Flare Dancer Torch Slug 1,EnemyDrop,Fire Temple,Vanilla
Fire Temple Before Lower Flare Dancer Torch Slug 2,EnemyDrop,Fire Temple,Vanilla
Fire Temple Before Lower Flare Dancer Torch Slug 3,EnemyDrop,Fire Temple,Vanilla
Fire Temple Before Lower Flare Dancer Torch Slug 4,EnemyDrop,Fire Temple,Vanilla
Fire Temple Before Lower Flare Dancer Like-Like,EnemyDrop,Fire Temple,Vanilla
Fire Temple Lower Flare Dancer,EnemyDrop,Fire Temple,Vanilla
Fire Temple MQ Map Room Side Chest,Chest,Fire Temple,MQ
Fire Temple MQ Megaton Hammer Chest,Chest,Fire Temple,MQ
Fire Temple MQ Map Chest,Chest,Fire Temple,MQ
Fire Temple MQ Near Boss Chest,Chest,Fire Temple,MQ
Fire Temple MQ Big Lava Room Blocked Door Chest,Chest,Fire Temple,MQ
Fire Temple MQ Boss Key Chest,Chest,Fire Temple,MQ
Fire Temple MQ Lizalfos Maze Side Room Chest,Chest,Fire Temple,MQ
Fire Temple MQ Compass Chest,Chest,Fire Temple,MQ
Fire Temple MQ Lizalfos Maze Upper Chest,Chest,Fire Temple,MQ
Fire Temple MQ Lizalfos Maze Lower Chest,Chest,Fire Temple,MQ
Fire Temple MQ Freestanding Key,Collectable,Fire Temple,MQ
Fire Temple MQ Chest On Fire,Chest,Fire Temple,MQ
Fire Temple MQ GS Big Lava Room Open Door,GS Token,Fire Temple,MQ
Fire Temple MQ GS Skull On Fire,GS Token,Fire Temple,MQ
Fire Temple MQ GS Flame Maze Center,GS Token,Fire Temple,MQ
Fire Temple MQ GS Flame Maze Side Room,GS Token,Fire Temple,MQ
Fire Temple MQ GS Above Flame Maze,GS Token,Fire Temple,MQ
Fire Temple MQ Elevator Room Recovery Heart 1,Freestanding,Fire Temple,MQ
Fire Temple MQ Elevator Room Recovery Heart 2,Freestanding,Fire Temple,MQ
Fire Temple MQ Elevator Room Recovery Heart 3,Freestanding,Fire Temple,MQ
Fire Temple MQ First Room Pot 1,Pot,Fire Temple,MQ
Fire Temple MQ First Room Pot 2,Pot,Fire Temple,MQ
Fire Temple MQ Big Lava Room Left Pot,Pot,Fire Temple,MQ
Fire Temple MQ Big Lava Room Right Pot,Pot,Fire Temple,MQ
Fire Temple MQ Big Lava Room Alcove Pot,Pot,Fire Temple,MQ
Fire Temple MQ Near Boss Pot 1,Pot,Fire Temple,MQ
Fire Temple MQ Near Boss Pot 2,Pot,Fire Temple,MQ
Fire Temple MQ Narrow Path Room Pot 1,Pot,Fire Temple,MQ
Fire Temple MQ Narrow Path Room Pot 2,Pot,Fire Temple,MQ
Fire Temple MQ Flame Maze Right Upper Pot 1,Pot,Fire Temple,MQ
Fire Temple MQ Flame Maze Right Upper Pot 2,Pot,Fire Temple,MQ
Fire Temple MQ Flame Maze Right Pot 1,Pot,Fire Temple,MQ
Fire Temple MQ Flame Maze Right Pot 2,Pot,Fire Temple,MQ
Fire Temple MQ Flame Maze Left Pot 1,Pot,Fire Temple,MQ
Fire Temple MQ Shoot Torch On Wall Room Pot 1,Pot,Fire Temple,MQ
Fire Temple MQ Shoot Torch On Wall Room Pot 2,Pot,Fire Temple,MQ
Fire Temple MQ Iron Knuckle Room Pot 1,Pot,Fire Temple,MQ
Fire Temple MQ Iron Knuckle Room Pot 2,Pot,Fire Temple,MQ
Fire Temple MQ Iron Knuckle Room Pot 3,Pot,Fire Temple,MQ
Fire Temple MQ Iron Knuckle Room Pot 4,Pot,Fire Temple,MQ
Fire Temple MQ Boss Key Chest Room Pot,Pot,Fire Temple,MQ
Fire Temple MQ Near Boss Left Crate 1,Crate,Fire Temple,MQ
Fire Temple MQ Near Boss Left Crate 2,Crate,Fire Temple,MQ
Fire Temple MQ Near Boss Right Lower Crate 1,Crate,Fire Temple,MQ
Fire Temple MQ Near Boss Right Lower Crate 2,Crate,Fire Temple,MQ
Fire Temple MQ Near Boss Right Mid Crate,Crate,Fire Temple,MQ
Fire Temple MQ Near Boss Right Upper Crate,Crate,Fire Temple,MQ
Fire Temple MQ Shortcut Crate 1,Crate,Fire Temple,MQ
Fire Temple MQ Shortcut Crate 2,Crate,Fire Temple,MQ
Fire Temple MQ Shortcut Crate 3,Crate,Fire Temple,MQ
Fire Temple MQ Shortcut Crate 4,Crate,Fire Temple,MQ
Fire Temple MQ Shortcut Crate 5,Crate,Fire Temple,MQ
Fire Temple MQ Shortcut Crate 6,Crate,Fire Temple,MQ
Fire Temple MQ Lower Lizalfos Maze Crate 1,Crate,Fire Temple,MQ
Fire Temple MQ Lower Lizalfos Maze Crate 2,Crate,Fire Temple,MQ
Fire Temple MQ Lower Lizalfos Maze Crate 3,Crate,Fire Temple,MQ
Fire Temple MQ Upper Lizalfos Maze Crate 1,Crate,Fire Temple,MQ
Fire Temple MQ Upper Lizalfos Maze Crate 2,Crate,Fire Temple,MQ
Fire Temple MQ Upper Lizalfos Maze Crate 3,Crate,Fire Temple,MQ
Fire Temple MQ Shoot Torch On Wall Room Right Crate 1,Crate,Fire Temple,MQ
Fire Temple MQ Shoot Torch On Wall Room Right Crate 2,Crate,Fire Temple,MQ
Fire Temple MQ Shoot Torch On Wall Room Center Crate,Crate,Fire Temple,MQ
Fire Temple MQ Shoot Torch On Wall Room Left Crate 1,Crate,Fire Temple,MQ
Fire Temple MQ Shoot Torch On Wall Room Left Crate 2,Crate,Fire Temple,MQ
Fire Temple MQ Lower Flare Dancer,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Shortcut Room Lizalfos,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Maze Lizalfos 1,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Maze Lizalfos 2,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Maze Lizalfos 3,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Maze Lizalfos 4,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Lower Lizalfos Maze Skullwalltula,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Elevator Above Maze Torch Slug 1,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Elevator Above Maze Torch Slug 2,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Hammer Steps Stalfos 1,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Hammer Steps Stalfos 2,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Before Lower Flare Dancer Keese,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Before Lower Flare Dancer Stalfos 1,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Before Lower Flare Dancer Stalfos 2,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Map Chest Like-Like,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Before Lower Flare Dancer Iron Knuckle,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Upper Flare Dancer,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Flame Maze Side Room Lizalfos,EnemyDrop,Fire Temple,MQ
Fire Temple MQ Shortcut Room Hammer Wonderitem 1,Wonderitem,Fire Temple,MQ
Fire Temple MQ Shortcut Room Hammer Wonderitem 2,Wonderitem,Fire Temple,MQ
Fire Temple MQ Shortcut Room Hammer Wonderitem 3,Wonderitem,Fire Temple,MQ
Fire Temple MQ Maze Face On Wall Hookshot Wonderitem,Wonderitem,Fire Temple,MQ
Fire Temple MQ Elevator Above Maze Hookshot Wonderitem 1,Wonderitem,Fire Temple,MQ
Fire Temple MQ Elevator Above Maze Hookshot Wonderitem 2,Wonderitem,Fire Temple,MQ
Fire Temple MQ Elevator Above Maze Hookshot Wonderitem 3,Wonderitem,Fire Temple,MQ
Fire Temple MQ Elevator Above Maze Hookshot Wonderitem 4,Wonderitem,Fire Temple,MQ
Fire Temple MQ Flame Maze Hookshot Wonderitem,Wonderitem,Fire Temple,MQ
Fire Temple MQ After Upper Flare Dancer Hookshot Wonderitem,Wonderitem,Fire Temple,MQ
Fire Temple MQ Hammer Steps Hookshot Wonderitem,Wonderitem,Fire Temple,MQ
Fire Temple MQ Shoot Torch on Wall Room Hookshot Wonderitem,Wonderitem,Fire Temple,MQ
Fire Temple MQ Boss Key Hookshot Wonderitem,Wonderitem,Fire Temple,MQ
Fire Temple MQ Boss Key Arrow Wonderitem,Wonderitem,Fire Temple,MQ
Fire Temple Volvagia Heart,BossHeart,Volvagia's Lair,Vanilla/MQ
Water Temple Compass Chest,Chest,Water Temple,Vanilla
Water Temple Map Chest,Chest,Water Temple,Vanilla
Water Temple Cracked Wall Chest,Chest,Water Temple,Vanilla
Water Temple Torches Chest,Chest,Water Temple,Vanilla
Water Temple Boss Key Chest,Chest,Water Temple,Vanilla
Water Temple Central Pillar Chest,Chest,Water Temple,Vanilla
Water Temple Central Bow Target Chest,Chest,Water Temple,Vanilla
Water Temple Longshot Chest,Chest,Water Temple,Vanilla
Water Temple River Chest,Chest,Water Temple,Vanilla
Water Temple Dragon Chest,Chest,Water Temple,Vanilla
Water Temple GS Behind Gate,GS Token,Water Temple,Vanilla
Water Temple GS Near Boss Key Chest,GS Token,Water Temple,Vanilla
Water Temple GS Central Pillar,GS Token,Water Temple,Vanilla
Water Temple GS Falling Platform Room,GS Token,Water Temple,Vanilla
Water Temple GS River,GS Token,Water Temple,Vanilla
Water Temple River Recovery Heart 1,Freestanding,Water Temple,Vanilla
Water Temple River Recovery Heart 2,Freestanding,Water Temple,Vanilla
Water Temple River Recovery Heart 3,Freestanding,Water Temple,Vanilla
Water Temple River Recovery Heart 4,Freestanding,Water Temple,Vanilla
Water Temple Main Room L2 Pot 1,Pot,Water Temple,Vanilla
Water Temple Main Room L2 Pot 2,Pot,Water Temple,Vanilla
Water Temple Behind Gate Pot 1,Pot,Water Temple,Vanilla
Water Temple Behind Gate Pot 2,Pot,Water Temple,Vanilla
Water Temple Behind Gate Pot 3,Pot,Water Temple,Vanilla
Water Temple Behind Gate Pot 4,Pot,Water Temple,Vanilla
Water Temple Near Compass Pot 1,Pot,Water Temple,Vanilla
Water Temple Near Compass Pot 2,Pot,Water Temple,Vanilla
Water Temple Near Compass Pot 3,Pot,Water Temple,Vanilla
Water Temple Like Like Pot 1,Pot,Water Temple,Vanilla
Water Temple Like Like Pot 2,Pot,Water Temple,Vanilla
Water Temple North Basement Block Puzzle Pot 1,Pot,Water Temple,Vanilla
Water Temple North Basement Block Puzzle Pot 2,Pot,Water Temple,Vanilla
Water Temple L1 Torch Pot 1,Pot,Water Temple,Vanilla
Water Temple L1 Torch Pot 2,Pot,Water Temple,Vanilla
Water Temple River Pot 1,Pot,Water Temple,Vanilla
Water Temple Central Bow Target Pot 1,Pot,Water Temple,Vanilla
Water Temple Central Bow Target Pot 2,Pot,Water Temple,Vanilla
Water Temple Lobby Spike 1,EnemyDrop,Water Temple,Vanilla
Water Temple Lobby Spike 2,EnemyDrop,Water Temple,Vanilla
Water Temple Lobby Tektite 1,EnemyDrop,Water Temple,Vanilla
Water Temple Lobby Tektite 2,EnemyDrop,Water Temple,Vanilla
Water Temple Central Pillar Shell Blade 1,EnemyDrop,Water Temple,Vanilla
Water Temple Central Pillar Shell Blade 2,EnemyDrop,Water Temple,Vanilla
Water Temple Central Pillar Spike 1,EnemyDrop,Water Temple,Vanilla
Water Temple Central Pillar Spike 2,EnemyDrop,Water Temple,Vanilla
Water Temple Central Pillar Spike 3,EnemyDrop,Water Temple,Vanilla
Water Temple Central Pillar Spike 4,EnemyDrop,Water Temple,Vanilla
Water Temple Central Pillar Spike 5,EnemyDrop,Water Temple,Vanilla
Water Temple South Basement Shell Blade,EnemyDrop,Water Temple,Vanilla
Water Temple South Basement Tektite 1,EnemyDrop,Water Temple,Vanilla
Water Temple South Basement Tektite 2,EnemyDrop,Water Temple,Vanilla
Water Temple Before Compass Chest Stingray 1,EnemyDrop,Water Temple,Vanilla
Water Temple Before Compass Chest Stingray 2,EnemyDrop,Water Temple,Vanilla
Water Temple Before Compass Chest Stingray 3,EnemyDrop,Water Temple,Vanilla
